@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
7,'2023/11/26 22:00:07:130',9,1272,1417,0.32,0.4
8,'2023/11/26 22:00:12:131',10,2027,869,0.52,0.4
9,'2023/11/26 22:00:17:133',11,2124,1477,0.62,0.7
10,'2023/11/26 22:00:22:131',12,1800,334,0.72,0.8
11,'2023/11/26 22:00:27:133',13,731,1760,0.92,0.9
